Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug|beta	drug|z	drug|p-value	drug|fdr	drug|wald-p-value	drug|wald-fdr
C9orf142	4	0.0090758	0.079987	0.9391	0.99607	0.93625	0.99667	-0.24043	-2.0928	0.18861	0.94118	0.036363	0.22034
C9orf153	4	0.032894	0.364	0.80943	0.99607	0.71586	0.9825	-0.064874	-0.70884	0.74067	0.99803	0.47842	0.79064
C9orf3	4	-0.17344	-1.4039	0.23772	0.88971	0.16036	0.6985	-0.012377	-0.09894	0.95874	0.99803	0.92119	0.97449
C9orf37	4	0.078418	0.66064	0.57171	0.99607	0.50884	0.90717	-0.050685	-0.42177	0.77996	0.99803	0.67319	0.89466
C9orf50	4	-0.046747	-0.4027	0.74067	0.99607	0.68717	0.96212	-0.17953	-1.5273	0.3222	0.99803	0.12668	0.4333
C9orf64	4	-0.078594	-0.76246	0.56189	0.99607	0.44578	0.87608	0.21951	2.1031	0.21807	0.99107	0.035461	0.22012
C9orf66	4	-0.20565	-1.7835	0.16503	0.84	0.074501	0.65381	0.11791	1.0099	0.51473	0.99803	0.31256	0.66522
C9orf69	4	0.044913	0.49232	0.74263	0.99607	0.62249	0.95724	0.036342	0.39344	0.85658	0.99803	0.69399	0.91505
C9orf72	4	0.16609	1.1634	0.19646	0.86207	0.24468	0.78218	0.078273	0.54148	0.67583	0.99803	0.58818	0.84811
C9orf9	4	-0.091726	-1.0703	0.49902	0.96947	0.28448	0.79386	0.08004	0.9225	0.66601	0.99803	0.35627	0.70256
C9orf91	4	0.11849	1.512	0.36739	0.95378	0.13054	0.6985	0.030075	0.37896	0.88802	0.99803	0.70472	0.91969
C9orf96	4	-0.050926	-0.56137	0.71906	0.99607	0.57455	0.9436	0.13471	1.4668	0.4558	0.99803	0.14244	0.45314
CA9	4	-0.081399	-0.73224	0.54224	0.99607	0.46402	0.87802	0.01916	0.17014	0.92731	0.99803	0.8649	0.96954
CAB39L	4	-0.092225	-0.75915	0.49902	0.96947	0.44777	0.87659	0.14459	1.1756	0.43026	0.99803	0.23974	0.60409
CABLES1	4	0.33387	2.0669	0.0039293	0.11765	0.038745	0.59761	-0.17087	-1.0447	0.34381	0.99803	0.29618	0.64702
CABP1	4	0.086116	0.65927	0.52259	0.98155	0.50972	0.90717	0.09823	0.74252	0.57957	0.99803	0.45777	0.76647
CACUL1	4	0.026692	0.24	0.84283	0.99607	0.81033	0.98388	-0.05567	-0.49442	0.76621	0.99803	0.62101	0.86602
CAD	4	0.191	1.8283	0.1277	0.75581	0.067504	0.65362	-0.0044713	-0.042273	0.99607	0.99803	0.96628	0.98001
CALCA	4	-0.072182	-0.51692	0.59332	0.99607	0.60521	0.9436	0.17587	1.2439	0.3222	0.99803	0.21353	0.57203
CALCOCO2	4	-0.077401	-1.0255	0.57171	0.99607	0.30513	0.79386	0.032764	0.42877	0.8723	0.99803	0.66809	0.89439
CALML6	4	0.13193	0.95743	0.31434	0.94118	0.33835	0.81107	-0.096212	-0.68957	0.63458	0.99803	0.49047	0.79472
CALR	4	0.11482	0.9982	0.39096	0.95378	0.31818	0.80386	-0.14122	-1.2092	0.42436	0.99803	0.22657	0.58808
CAMK1D	4	0.10548	0.97805	0.43418	0.95378	0.32805	0.80666	-0.21856	-2.0016	0.22397	0.99803	0.045327	0.24033
CAMK1G	4	-0.063032	-0.73267	0.65815	0.99607	0.46376	0.87802	0.075941	0.872	0.68369	0.99803	0.38321	0.71968
CAMK2A	4	0.35807	2.0963	0	0	0.036055	0.59761	-0.064046	-0.37008	0.74263	0.99803	0.71133	0.91969
CAMK2G	4	0.22115	1.4311	0.068762	0.63636	0.15241	0.6985	0.13487	0.86125	0.4558	0.99803	0.3891	0.72018
CAMK2N2	4	-0.054414	-0.43326	0.69155	0.99607	0.66483	0.95918	0.1617	1.2711	0.38114	0.99803	0.20371	0.55918
CAMKK1	4	0.15476	0.94392	0.23183	0.88971	0.34521	0.81726	0.20787	1.2521	0.24951	0.99803	0.21054	0.56701
CAND1	4	-0.10129	-0.99531	0.46562	0.96813	0.31958	0.80386	0.16967	1.6467	0.34578	0.99803	0.099611	0.37753
CAND2	4	-0.0028392	-0.024023	0.99214	0.99607	0.98083	0.99667	0.016894	0.1412	0.93517	0.99803	0.88772	0.97449
CAPG	4	0.20587	1.5079	0.094303	0.75581	0.13157	0.6985	-0.011929	-0.086297	0.96071	0.99803	0.93123	0.97449
CAPN3	4	-0.00598	-0.053051	0.99214	0.99607	0.95769	0.99667	-0.082642	-0.72418	0.66601	0.99803	0.46895	0.78058
CAPN7	4	-0.047773	-0.40656	0.73477	0.99607	0.68433	0.96212	0.13751	1.156	0.45187	0.99803	0.2477	0.60903
CARD8	4	-0.040917	-0.33855	0.79175	0.99607	0.73495	0.9825	0.078118	0.63851	0.6778	0.99803	0.52314	0.80909
CARM1	4	0.14819	1.1894	0.25147	0.89933	0.23428	0.78038	-0.079277	-0.6283	0.6778	0.99803	0.52981	0.81245
CASC3	4	-0.05376	-0.45231	0.69548	0.99607	0.65104	0.95918	0.18438	1.5324	0.29273	0.99803	0.12544	0.4333
CASC5	4	0.063333	0.52495	0.6444	0.99607	0.59962	0.9436	0.10551	0.86353	0.55992	0.99803	0.38784	0.72018
CASK	4	-0.024964	-0.27893	0.88016	0.99607	0.7803	0.9825	0.12964	1.4306	0.47544	0.99803	0.15254	0.47267
CASP2	4	-0.0040066	-0.031083	0.99411	0.99607	0.9752	0.99667	-0.0088753	-0.068015	0.98232	0.99803	0.94577	0.97449
CASP3	4	-0.038255	-0.28546	0.80747	0.99607	0.77529	0.9825	0.059319	0.43711	0.76817	0.99803	0.66203	0.88931
CASP6	4	-0.12898	-1.135	0.35953	0.95378	0.25636	0.78697	0.062714	0.54516	0.75639	0.99803	0.58564	0.84685
CASP8	4	0.021554	0.14618	0.87426	0.99607	0.88378	0.99303	0.072496	0.48567	0.70138	0.99803	0.6272	0.87182
CAV2	4	-0.12215	-1.153	0.3831	0.95378	0.2489	0.78218	0.27029	2.52	0.12967	0.86667	0.011735	0.11562
CBLB	4	0.27028	2.0794	0.019646	0.34483	0.037576	0.59761	-0.091009	-0.69126	0.64833	0.99803	0.4894	0.79472
CBLC	4	0.051088	0.41494	0.70923	0.99607	0.67819	0.95993	0.062946	0.50494	0.75442	0.99803	0.6136	0.86277
CBX2	4	-0.031965	-0.27737	0.82515	0.99607	0.7815	0.9825	-0.06177	-0.52929	0.74853	0.99803	0.59661	0.85301
CBX4	4	-0.13522	-1.2051	0.34774	0.95378	0.22815	0.7742	0.29962	2.6349	0.092338	0.69118	0.008416	0.087423
CBX7	4	0.17893	1.2505	0.16306	0.83838	0.2111	0.76127	0.13566	0.93638	0.45383	0.99803	0.34908	0.70229
CBX8	4	-0.017483	-0.13155	0.91945	0.99607	0.89534	0.99392	0.10172	0.75603	0.56582	0.99803	0.44963	0.76647
CC2D1B	4	-0.1303	-1.116	0.35953	0.95378	0.26441	0.79386	0.024719	0.20911	0.91356	0.99803	0.83436	0.96363
CCAR1	4	0.05879	0.524	0.66405	0.99607	0.60028	0.9436	-0.16856	-1.484	0.35167	0.99803	0.13781	0.4457
CCDC102A	4	-0.12127	-1.0299	0.389	0.95378	0.30304	0.79386	0.26382	2.2134	0.14145	0.86667	0.026872	0.18857
CCDC103	4	0.21853	1.0886	0.076621	0.67241	0.27632	0.79386	0.20689	1.0178	0.25344	0.99803	0.3088	0.66041
CCDC105	4	-0.0058291	-0.062983	0.99607	0.99607	0.94978	0.99667	-0.076603	-0.81689	0.69352	0.99803	0.41399	0.74166
CCDC106	4	0.0059143	0.052954	0.95678	0.99607	0.95777	0.99667	-0.00051855	-0.0045865	0.99411	0.99803	0.99634	0.99634
CCDC107	4	-0.10826	-0.89903	0.43222	0.95378	0.36864	0.8266	-0.013003	-0.10665	0.95678	0.99803	0.91507	0.97449
CCDC109B	4	-0.19977	-1.9939	0.17682	0.85714	0.046165	0.63508	0.099898	0.9845	0.5776	0.99803	0.32487	0.67092
CCDC11	4	-0.22527	-1.8143	0.12181	0.75581	0.069633	0.65362	0.11076	0.88048	0.5442	0.99803	0.3786	0.71607
CCDC113	4	0.22514	1.1438	0.058939	0.56604	0.25271	0.78432	0.25425	1.2744	0.15128	0.86667	0.20254	0.55918
CCDC115	4	0.22804	1.6887	0.056974	0.56604	0.091274	0.69692	-0.038246	-0.27964	0.84479	0.99803	0.77975	0.95301
CCDC116	4	0.078695	0.681	0.56974	0.99607	0.49587	0.90142	0.14782	1.2632	0.4224	0.99803	0.20653	0.55918
CDK1	4	-0.86899	-4.0638	0	0	4.8272e-05	0.0024571	0.060859	0.28099	0.76031	0.99803	0.77872	0.95301
CHEK1	4	-0.022568	-0.13403	0.88802	0.99607	0.89338	0.99392	-0.87794	-5.1481	0	0	2.6315e-07	5.1516e-06
CHEK2	4	0.011989	0.068133	0.93124	0.99607	0.94568	0.99667	-1.141	-6.4034	0	0	1.5194e-10	7.0307e-09
DYNLL1	4	0.074966	0.12697	0.58743	0.99607	0.89897	0.99473	1.1751	1.9641	0	0	0.049518	0.24889
EEF2	4	-1.0352	-4.8757	0	0	1.0844e-06	0.00017301	0.20348	0.94631	0.25737	0.99803	0.34399	0.69851
EIF3A	4	-1.2513	-5.4801	0	0	4.2498e-08	1.9267e-05	0.15	0.64884	0.4224	0.99803	0.51644	0.80763
EXO1	4	-0.25052	-1.2111	0.11198	0.75581	0.22586	0.7742	-1.1572	-5.5222	0	0	3.3469e-08	7.4068e-07
FAM35A	4	0.16803	0.30363	0.1945	0.86207	0.76141	0.9825	1.0448	1.8627	0	0	0.062503	0.28705
FANCA	4	-0.15217	-0.76308	0.28684	0.90123	0.44542	0.87608	-1.2686	-6.2822	0	0	3.3376e-10	1.3068e-08
FANCB	4	0.015766	0.09025	0.9057	0.99607	0.92809	0.99667	-1.3418	-7.5844	0	0	3.3396e-14	9.0276e-12
FANCC	4	0.062447	0.32795	0.64833	0.99607	0.74295	0.9825	-1.462	-7.5766	0	0	3.5472e-14	9.0276e-12
FANCD2	4	-0.045226	-0.2256	0.74656	0.99607	0.82151	0.98388	-1.4372	-7.0783	0	0	1.4594e-12	1.4856e-10
FANCE	4	0.0041341	0.022009	0.96071	0.99607	0.98244	0.99667	-0.87922	-4.6126	0	0	3.9757e-06	6.9781e-05
FANCF	4	0.1026	0.61888	0.44401	0.95378	0.53599	0.92013	-0.79596	-4.7399	0	0	2.1377e-06	3.8861e-05
FANCI	4	-0.2372	-1.2998	0.11591	0.75581	0.19366	0.75437	-0.80037	-4.332	0	0	1.4776e-05	0.0002507
FANCL	4	-0.074943	-0.46804	0.58153	0.99607	0.63976	0.95918	-0.92317	-5.695	0	0	1.2338e-08	2.9906e-07
FANCM	4	-0.23929	-1.4841	0.11395	0.75581	0.13779	0.6985	-0.59388	-3.6291	0.0058939	0.065217	0.00028438	0.0043863
H2AFX	4	-0.28688	-1.5348	0.070727	0.64286	0.12484	0.6985	-0.9113	-4.8147	0	0	1.4744e-06	2.7794e-05
MAD2L2	4	-0.24776	-0.61003	0.11198	0.75581	0.54184	0.92013	1.1848	2.8767	0	0	0.0040191	0.044472
MRE11	4	0.055541	0.30759	0.68173	0.99607	0.75839	0.9825	-1.0245	-5.6025	0	0	2.1132e-08	4.8892e-07
NBN	4	0.11879	0.68797	0.36542	0.95378	0.49147	0.90104	-1.0448	-5.9747	0	0	2.3049e-09	7.3325e-08
PALB2	4	0.11173	0.60849	0.40668	0.95378	0.54286	0.92013	-1.059	-5.6951	0	0	1.2334e-08	2.9906e-07
PARP1	4	0.24221	0.32221	0.039293	0.5122	0.74729	0.9825	1.2012	1.577	0	0	0.11479	0.41147
PARP2	4	0.092405	0.26428	0.49312	0.96947	0.79157	0.98388	0.7961	2.2459	0.0019646	0.022727	0.024708	0.17966
PAXIP1	4	-0.14888	-0.60386	0.29666	0.92073	0.54593	0.92013	0.73907	2.9596	0.0019646	0.022727	0.0030802	0.035632
PCNA	4	-0.97616	-4.262	0	0	2.026e-05	0.0014732	0.031179	0.13444	0.88605	0.99803	0.89305	0.97449
POLR2A	4	-0.89675	-4.0877	0	0	4.3574e-05	0.0024571	-0.16628	-0.74806	0.35953	0.99803	0.45442	0.76647
PSMD1	4	-1.1008	-4.5444	0	0	5.5099e-06	0.00050626	-0.061107	-0.24909	0.75442	0.99803	0.80329	0.95943
RAD50	4	-0.12963	-0.68111	0.35953	0.95378	0.4958	0.90142	-1.0582	-5.491	0	0	3.9963e-08	8.1365e-07
RAD51	4	0.04508	0.23817	0.74263	0.99607	0.81175	0.98388	-1.3625	-7.102	0	0	1.2293e-12	1.4856e-10
RAD51B	4	0.17571	0.89937	0.16306	0.83838	0.36845	0.8266	-1.2555	-6.347	0	0	2.1961e-10	9.3151e-09
RAD51C	4	-0.16694	-0.90837	0.25737	0.89933	0.36368	0.8264	-0.80087	-4.3028	0	0	1.6865e-05	0.00027692
RAD51D	4	0.043919	0.23419	0.74853	0.99607	0.81484	0.98388	-1.2814	-6.7437	0	0	1.5438e-11	8.7313e-10
RBBP8	4	0.0053097	0.029132	0.95678	0.99607	0.97676	0.99667	-1.254	-6.7918	0	0	1.1078e-11	7.7546e-10
REV7	4	-0.027335	-0.06555	0.85265	0.99607	0.94774	0.99667	1.0352	2.4509	0	0	0.014251	0.13189
RIF1	4	-0.015652	-0.037156	0.93124	0.99607	0.97036	0.99667	1.0312	2.415	0	0	0.015736	0.14303
RNF168	4	-0.15436	-0.93958	0.28291	0.90123	0.34743	0.81742	0.59393	3.5695	0.011788	0.12766	0.00035769	0.0050574
RNF8	4	0.24093	0.2969	0.041257	0.5122	0.76654	0.9825	1.2447	1.5124	0	0	0.13044	0.4351
RPA1	4	-0.7762	-4.1245	0	0	3.715e-05	0.0023637	0.096665	0.50735	0.58939	0.99803	0.61191	0.86277
RPL11	4	-0.79133	-3.7765	0	0	0.00015903	0.0073588	-0.1294	-0.60991	0.4833	0.99803	0.54192	0.8234
RPL5	4	-0.65622	-3.5833	0	0	0.00033926	0.01439	-0.016774	-0.09042	0.93517	0.99803	0.92795	0.97449
RPS19	4	-0.99416	-4.5275	0	0	5.9677e-06	0.00050626	0.0077278	0.034762	0.96857	0.99803	0.97227	0.98001
SEC61A1	4	-1.0431	-4.8308	0	0	1.3596e-06	0.00017301	0.33226	1.5199	0.076621	0.67692	0.12854	0.4333
SHLD1	4	0.041863	0.070545	0.76424	0.99607	0.94376	0.99667	1.2117	2.0147	0	0	0.043941	0.24033
SHLD2	4	0.087914	0.19208	0.50884	0.97736	0.84768	0.99131	0.99097	2.1354	0	0	0.032725	0.21168
SHLD3	4	-0.063247	-0.28453	0.65619	0.99607	0.776	0.9825	0.67475	2.9969	0.0039293	0.044444	0.0027272	0.034704
TP53BP1	4	0.12624	0.25582	0.34381	0.95378	0.79809	0.98388	0.94991	1.8999	0	0	0.057446	0.27782
UBA1	4	-1.1509	-5.3771	0	0	7.5707e-08	1.9267e-05	0.32748	1.511	0.082515	0.67692	0.13079	0.4351
WRN	4	-0.30988	-1.6886	0.051081	0.56604	0.091297	0.69692	-0.66867	-3.5986	0	0	0.00031991	0.0046524
XRCC2	4	0.12107	0.60676	0.35756	0.95378	0.54401	0.92013	-1.1794	-5.8329	0	0	5.447e-09	1.4592e-07
XRCC3	4	-0.037188	-0.18224	0.80943	0.99607	0.85539	0.99131	-1.5523	-7.512	0	0	5.8214e-14	9.877e-12
