sgRNA	Gene	HL60.initial	KBM7.initial	HL60.final	KBM7.final
ACD_p67694194	ACD	1411.9623600432917	1014.8558920620239	1193.2616328850388	1176.6959280555764
ACD_p67694285	ACD	597.091335094916	480.7212120293797	566.4913998596002	641.9400558006164
ACD_p67694333	ACD	301.4301667508151	236.05306827249112	161.39171460530943	261.5527087608682
ACD_p67694350	ACD	533.6323526210602	237.7760833693706	303.9868038148198	395.5329381929388
ACD_p67694355	ACD	738.431796059413	771.9107634020148	1124.556726265911	933.7839468678658
ACD_p67694362	ACD	1560.5140690161816	1064.8233298715293	1369.5610159077062	1459.2194553362467
ACHE_m100491721	ACHE	1055.726708428692	847.7234276647126	847.1444618037729	577.2800320312258
ACHE_m100491729	ACHE	477.3846181555971	806.3710653396047	884.0895530989642	743.299011979661
ACHE_m100491735	ACHE	1491.2860881356114	1554.1596173853065	1365.672058929265	1344.4624762139952
ACHE_m100491767	ACHE	1527.342328177575	1705.7849459107024	997.5174649701655	959.9974700176186
ACHE_m100491773	ACHE	553.8238470445598	377.3403062166099	166.57699057656436	230.09648098116466
ACHE_m100491779	ACHE	275.46967392060134	510.0124686763312	306.5794418004472	514.3675764718188
ACHE_m100491816	ACHE	289.89216993738677	408.35457796044085	390.84017633333974	344.8534601034164
ACHE_p100491631	ACHE	530.7478534177031	570.3179970671137	690.9380231697183	716.502966093247
ACHE_p100491656	ACHE	2577.300038199553	1655.8175081011968	1797.3462835362373	2616.692133082004
ACHE_p100491821	ACHE	848.0427657869822	1080.3304657434448	392.7846548225603	337.2806645268211
ACIN1_m23535193	ACIN1	550.9393478412027	799.4790049520867	440.1002980602615	589.5130095011104
ACIN1_m23538698	ACIN1	3360.4415719110007	3704.482458290919	2046.8876896528802	702.5224204133787
ACIN1_m23538715	ACIN1	830.7357705668396	956.273378768121	344.17269259204545	423.4940295526752
ACIN1_m23538803	ACIN1	2386.9230907779856	2059.003040770999	1096.6858679204158	158.44618437183996
ACIN1_m23538815	ACIN1	1283.6021454939016	2121.031584258661	1523.1748165561332	1015.3371300004304
