sgRNA	Gene
CBX4_sg1	CBX4
CBX4_sg2	CBX4
CBX4_sg3	CBX4
CBX4_sg4	CBX4
CBX7_sg1	CBX7
CBX7_sg2	CBX7
CBX7_sg3	CBX7
CBX7_sg4	CBX7
CBX8_sg1	CBX8
CBX8_sg2	CBX8
CBX8_sg3	CBX8
CBX8_sg4	CBX8
CC2D1B_sg1	CC2D1B
CC2D1B_sg2	CC2D1B
CC2D1B_sg3	CC2D1B
CC2D1B_sg4	CC2D1B
CCAR1_sg1	CCAR1
CCAR1_sg2	CCAR1
CCAR1_sg3	CCAR1
CCAR1_sg4	CCAR1
CCDC102A_sg1	CCDC102A
CCDC102A_sg2	CCDC102A
CCDC102A_sg3	CCDC102A
CCDC102A_sg4	CCDC102A
CCDC103_sg1	CCDC103
CCDC103_sg2	CCDC103
CCDC103_sg3	CCDC103
CCDC103_sg4	CCDC103
CCDC105_sg1	CCDC105
CCDC105_sg2	CCDC105
CCDC105_sg3	CCDC105
CCDC105_sg4	CCDC105
CCDC106_sg1	CCDC106
CCDC106_sg2	CCDC106
CCDC106_sg3	CCDC106
CCDC106_sg4	CCDC106
CCDC107_sg1	CCDC107
CCDC107_sg2	CCDC107
CCDC107_sg3	CCDC107
CCDC107_sg4	CCDC107
CCDC109B_sg1	CCDC109B
CCDC109B_sg2	CCDC109B
CCDC109B_sg3	CCDC109B
CCDC109B_sg4	CCDC109B
CCDC11_sg1	CCDC11
CCDC11_sg2	CCDC11
CCDC11_sg3	CCDC11
CCDC11_sg4	CCDC11
CCDC113_sg1	CCDC113
CCDC113_sg2	CCDC113
CCDC113_sg3	CCDC113
CCDC113_sg4	CCDC113
CCDC115_sg1	CCDC115
CCDC115_sg2	CCDC115
CCDC115_sg3	CCDC115
CCDC115_sg4	CCDC115
CCDC116_sg1	CCDC116
CCDC116_sg2	CCDC116
CCDC116_sg3	CCDC116
CCDC116_sg4	CCDC116
CDK1_sg1	CDK1
CDK1_sg2	CDK1
CDK1_sg3	CDK1
CDK1_sg4	CDK1
CHEK1_sg1	CHEK1
CHEK1_sg2	CHEK1
CHEK1_sg3	CHEK1
CHEK1_sg4	CHEK1
CHEK2_sg1	CHEK2
CHEK2_sg2	CHEK2
CHEK2_sg3	CHEK2
CHEK2_sg4	CHEK2
DYNLL1_sg1	DYNLL1
DYNLL1_sg2	DYNLL1
DYNLL1_sg3	DYNLL1
DYNLL1_sg4	DYNLL1
EEF2_sg1	EEF2
EEF2_sg2	EEF2
EEF2_sg3	EEF2
EEF2_sg4	EEF2
EIF3A_sg1	EIF3A
EIF3A_sg2	EIF3A
EIF3A_sg3	EIF3A
EIF3A_sg4	EIF3A
EXO1_sg1	EXO1
EXO1_sg2	EXO1
EXO1_sg3	EXO1
EXO1_sg4	EXO1
FAM35A_sg1	FAM35A
FAM35A_sg2	FAM35A
FAM35A_sg3	FAM35A
FAM35A_sg4	FAM35A
FANCA_sg1	FANCA
FANCA_sg2	FANCA
FANCA_sg3	FANCA
FANCA_sg4	FANCA
FANCB_sg1	FANCB
FANCB_sg2	FANCB
FANCB_sg3	FANCB
FANCB_sg4	FANCB
FANCC_sg1	FANCC
FANCC_sg2	FANCC
FANCC_sg3	FANCC
FANCC_sg4	FANCC
FANCD2_sg1	FANCD2
FANCD2_sg2	FANCD2
FANCD2_sg3	FANCD2
FANCD2_sg4	FANCD2
FANCE_sg1	FANCE
FANCE_sg2	FANCE
FANCE_sg3	FANCE
FANCE_sg4	FANCE
FANCF_sg1	FANCF
FANCF_sg2	FANCF
FANCF_sg3	FANCF
FANCF_sg4	FANCF
FANCI_sg1	FANCI
FANCI_sg2	FANCI
FANCI_sg3	FANCI
FANCI_sg4	FANCI
FANCL_sg1	FANCL
FANCL_sg2	FANCL
FANCL_sg3	FANCL
FANCL_sg4	FANCL
FANCM_sg1	FANCM
FANCM_sg2	FANCM
FANCM_sg3	FANCM
FANCM_sg4	FANCM
H2AFX_sg1	H2AFX
H2AFX_sg2	H2AFX
H2AFX_sg3	H2AFX
H2AFX_sg4	H2AFX
MAD2L2_sg1	MAD2L2
MAD2L2_sg2	MAD2L2
MAD2L2_sg3	MAD2L2
MAD2L2_sg4	MAD2L2
MRE11_sg1	MRE11
MRE11_sg2	MRE11
MRE11_sg3	MRE11
MRE11_sg4	MRE11
NBN_sg1	NBN
NBN_sg2	NBN
NBN_sg3	NBN
NBN_sg4	NBN
PALB2_sg1	PALB2
PALB2_sg2	PALB2
PALB2_sg3	PALB2
PALB2_sg4	PALB2
PARP1_sg1	PARP1
PARP1_sg2	PARP1
PARP1_sg3	PARP1
PARP1_sg4	PARP1
PARP2_sg1	PARP2
PARP2_sg2	PARP2
PARP2_sg3	PARP2
PARP2_sg4	PARP2
PAXIP1_sg1	PAXIP1
PAXIP1_sg2	PAXIP1
PAXIP1_sg3	PAXIP1
PAXIP1_sg4	PAXIP1
PCNA_sg1	PCNA
PCNA_sg2	PCNA
PCNA_sg3	PCNA
PCNA_sg4	PCNA
POLR2A_sg1	POLR2A
POLR2A_sg2	POLR2A
POLR2A_sg3	POLR2A
POLR2A_sg4	POLR2A
PSMD1_sg1	PSMD1
PSMD1_sg2	PSMD1
PSMD1_sg3	PSMD1
PSMD1_sg4	PSMD1
RAD50_sg1	RAD50
RAD50_sg2	RAD50
RAD50_sg3	RAD50
RAD50_sg4	RAD50
RAD51_sg1	RAD51
RAD51_sg2	RAD51
RAD51_sg3	RAD51
RAD51_sg4	RAD51
RAD51B_sg1	RAD51B
RAD51B_sg2	RAD51B
RAD51B_sg3	RAD51B
RAD51B_sg4	RAD51B
RAD51C_sg1	RAD51C
RAD51C_sg2	RAD51C
RAD51C_sg3	RAD51C
RAD51C_sg4	RAD51C
RAD51D_sg1	RAD51D
RAD51D_sg2	RAD51D
RAD51D_sg3	RAD51D
RAD51D_sg4	RAD51D
RBBP8_sg1	RBBP8
RBBP8_sg2	RBBP8
RBBP8_sg3	RBBP8
RBBP8_sg4	RBBP8
REV7_sg1	REV7
REV7_sg2	REV7
REV7_sg3	REV7
REV7_sg4	REV7
RIF1_sg1	RIF1
RIF1_sg2	RIF1
RIF1_sg3	RIF1
RIF1_sg4	RIF1
RNF168_sg1	RNF168
RNF168_sg2	RNF168
RNF168_sg3	RNF168
RNF168_sg4	RNF168
RNF8_sg1	RNF8
RNF8_sg2	RNF8
RNF8_sg3	RNF8
RNF8_sg4	RNF8
RPA1_sg1	RPA1
RPA1_sg2	RPA1
RPA1_sg3	RPA1
RPA1_sg4	RPA1
RPL11_sg1	RPL11
RPL11_sg2	RPL11
RPL11_sg3	RPL11
RPL11_sg4	RPL11
RPL5_sg1	RPL5
RPL5_sg2	RPL5
RPL5_sg3	RPL5
RPL5_sg4	RPL5
RPS19_sg1	RPS19
RPS19_sg2	RPS19
RPS19_sg3	RPS19
RPS19_sg4	RPS19
SEC61A1_sg1	SEC61A1
SEC61A1_sg2	SEC61A1
SEC61A1_sg3	SEC61A1
SEC61A1_sg4	SEC61A1
SHLD1_sg1	SHLD1
SHLD1_sg2	SHLD1
SHLD1_sg3	SHLD1
SHLD1_sg4	SHLD1
SHLD2_sg1	SHLD2
SHLD2_sg2	SHLD2
SHLD2_sg3	SHLD2
SHLD2_sg4	SHLD2
SHLD3_sg1	SHLD3
SHLD3_sg2	SHLD3
SHLD3_sg3	SHLD3
SHLD3_sg4	SHLD3
TP53BP1_sg1	TP53BP1
TP53BP1_sg2	TP53BP1
TP53BP1_sg3	TP53BP1
TP53BP1_sg4	TP53BP1
UBA1_sg1	UBA1
UBA1_sg2	UBA1
UBA1_sg3	UBA1
UBA1_sg4	UBA1
WRN_sg1	WRN
WRN_sg2	WRN
WRN_sg3	WRN
WRN_sg4	WRN
XRCC2_sg1	XRCC2
XRCC2_sg2	XRCC2
XRCC2_sg3	XRCC2
XRCC2_sg4	XRCC2
XRCC3_sg1	XRCC3
XRCC3_sg2	XRCC3
XRCC3_sg3	XRCC3
XRCC3_sg4	XRCC3
