id	Score	FDR	LogFDR	EntrezID	Symbol	HumanGene
C9orf106	-0.10934	0.999965	1.52005728781941e-05	414318	C9orf106	C9orf106
ALOX5AP	-0.041427	0.999965	1.52005728781941e-05	241	ALOX5AP	ALOX5AP
C7orf10	-0.045217	0.999965	1.52005728781941e-05	79783	C7orf10	C7orf10
ATXN7	-0.17623	0.999965	1.52005728781941e-05	6314	ATXN7	ATXN7
BSPRY	-0.045555	0.999965	1.52005728781941e-05	54836	BSPRY	BSPRY
CABP1	0.021554	0.754702	0.122224499103854	9478	CABP1	CABP1
C15orf40	-0.081023	0.999965	1.52005728781941e-05	123207	C15orf40	C15orf40
BNIP3L	-0.088555	0.999965	1.52005728781941e-05	665	BNIP3L	BNIP3L
CCDC109B	-0.14208	0.999965	1.52005728781941e-05	55013	CCDC109B	CCDC109B
ABI1	-0.17181	0.999965	1.52005728781941e-05	10006	ABI1	ABI1
ASF1B	-0.076309	0.999965	1.52005728781941e-05	55723	ASF1B	ASF1B
ADAP1	0.16591	0.982282	0.00776381418625162	11033	ADAP1	ADAP1
C19orf35	0.015838	0.913341	0.0393670463769532	374872	C19orf35	C19orf35
C8orf58	-0.16378	0.999965	1.52005728781941e-05	541565	C8orf58	C8orf58
C10orf128	-0.041098	0.999965	1.52005728781941e-05	170371	C10orf128	C10orf128
ABCC1	-0.087903	0.999965	1.52005728781941e-05	4363	ABCC1	ABCC1
C2orf42	0.15981	0.999995	2.1714778382296e-06	54980	C2orf42	C2orf42
BAG4	0.3028	0.944193	0.0249392236385517	9530	BAG4	BAG4
C6orf99	-0.024993	0.999965	1.52005728781941e-05	100130967	C6orf99	C6orf99
ANP32A	-0.085479	0.999965	1.52005728781941e-05	8125	ANP32A	ANP32A
AIPL1	-0.092738	0.999965	1.52005728781941e-05	23746	AIPL1	AIPL1
C19orf77	-0.046658	0.999965	1.52005728781941e-05	284422	C19orf77	C19orf77
C12orf52	-0.0031781	0.999965	1.52005728781941e-05	84934	C12orf52	C12orf52
BCL6	0.14676	0.975794	0.0106418566223	604	BCL6	BCL6
C12orf4	-0.051405	0.999965	1.52005728781941e-05	57102	C12orf4	C12orf4
C17orf62	0.039608	0.999995	2.1714778382296e-06	79415	C17orf62	C17orf62
BACH2	-0.13179	0.999965	1.52005728781941e-05	60468	BACH2	BACH2
ACTL7A	0.017433	0.983606	0.00717883072739955	10881	ACTL7A	ACTL7A
CBLC	0.064556	0.999995	2.1714778382296e-06	23624	CBLC	CBLC
C11orf35	0.01706	0.999995	2.1714778382296e-06	256329	C11orf35	C11orf35
C2orf80	0.11424	0.999995	2.1714778382296e-06	389073	C2orf80	C2orf80
C4orf22	0.0095877	0.524841	0.27997224570129	255119	C4orf22	C4orf22
C15orf60	0.051154	0.999995	2.1714778382296e-06	283677	C15orf60	C15orf60
C11orf30	-0.061941	0.999965	1.52005728781941e-05	56946	C11orf30	C11orf30
ATP6V0A1	-0.070696	0.999965	1.52005728781941e-05	535	ATP6V0A1	ATP6V0A1
C1orf86	-0.091823	0.999965	1.52005728781941e-05	199990	C1orf86	C1orf86
ASXL3	-0.060968	0.999965	1.52005728781941e-05	80816	ASXL3	ASXL3
ANXA7	0.020915	0.999995	2.1714778382296e-06	310	ANXA7	ANXA7
C12orf43	-0.01697	0.999965	1.52005728781941e-05	64897	C12orf43	C12orf43
C15orf56	0.18284	0.982282	0.00776381418625162	644809	C15orf56	C15orf56
BTD	0.011706	0.99512	0.00212454518849806	686	BTD	BTD
ALX3	-0.12164	0.999965	1.52005728781941e-05	257	ALX3	ALX3
C22orf26	-0.022988	0.999965	1.52005728781941e-05	55267	C22orf26	C22orf26
AKT2	0.17725	0.882932	0.0540727428119685	208	AKT2	AKT2
C17orf51	-0.09825	0.999965	1.52005728781941e-05	339263	C17orf51	C17orf51
ABTB1	-0.016783	0.999965	1.52005728781941e-05	80325	ABTB1	ABTB1
C15orf61	-0.075697	0.999965	1.52005728781941e-05	145853	C15orf61	C15orf61
C19orf55	0.074184	0.857625	0.0667025676655327	148137	C19orf55	C19orf55
ANAPC1	0.029426	0.686974	0.163059699432742	64682	ANAPC1	ANAPC1
C2orf82	0.1459	0.983606	0.00717883072739955	389084	C2orf82	C2orf82
BHLHE41	-0.074338	0.999965	1.52005728781941e-05	79365	BHLHE41	BHLHE41
BRMS1L	0.073799	0.999995	2.1714778382296e-06	84312	BRMS1L	BRMS1L
C6orf203	-0.026111	0.999965	1.52005728781941e-05	51250	C6orf203	C6orf203
API5	-0.043521	0.999965	1.52005728781941e-05	8539	API5	API5
ATXN3	0.049439	0.999995	2.1714778382296e-06	4287	ATXN3	ATXN3
C16orf71	-0.031969	0.999965	1.52005728781941e-05	146562	C16orf71	C16orf71
BRD3	0.30075	0.658465	0.181467304545534	8019	BRD3	BRD3
ATF5	0.0094722	0.999995	2.1714778382296e-06	22809	ATF5	ATF5
ACVR1B	-0.067945	0.999965	1.52005728781941e-05	91	ACVR1B	ACVR1B
BCL10	0.0030549	0.999995	2.1714778382296e-06	8915	BCL10	BCL10
